Year,NATURE,SOURCE_DETAIL,SDG Series,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Source details,COMMENT_OBS,Observation-level footnotes,Value
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 4,Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 4,Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 4,Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.29703
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 4,Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 4,Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 4,Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 4,Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 4,Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 5 (richest),Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 5 (richest),Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.53254
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 5 (richest),Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.64268
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 5 (richest),Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.78391
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 5 (richest),Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 5 (richest),Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.36641
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 5 (richest),Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.52582
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 5 (richest),Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.49952
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 5 (richest),Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 5 (richest),Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.25891
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 5 (richest),Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,1.20359
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,Quintile 5 (richest),Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.43977
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.1478
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.26459
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.35414
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0078
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0355
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.08124
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.00046
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.01253
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.04485
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.22881
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.34669
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.3728
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.01905
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.05349
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.13217
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.00148
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.01098
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.10262
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,,Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,,Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,,Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.78684
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,,Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,1.09833
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,,Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,,Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,,Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
